Station,Line,Grade,Opened,Ridership (2018 Avg. Weekday),Platforms,Accessible
Bathurst,2,Underground,1966,"26,900",Side,Yes
Bay,2,Underground,1966,"32,690",Centre,No
Bayview,4,Underground,2002,"8,530",Centre,Yes
Bessarion,4,Underground,2002,"2,990",Centre,Yes
Bloor–Yonge,1 & 2,Underground,"1954, 1966","401,090","Side, Centre",Yes
Broadview,2,Underground,1966,"32,670",Side,Yes
Castle Frank,2,Underground,1966,"9,760",Side,No
Chester,2,Underground,1966,"5,800",Side,No
Christie,2,Underground,1966,"12,510",Side,No
College,1,Underground,1954,"44,370",Side,No
Coxwell,2,Underground,1966,"15,480",Side,Yes
Davisville,1,Surface,1954,"25,990",Side,Yes
Don Mills,4,Underground,2002,"37,050",Centre,Yes
Donlands,2,Underground,1966,"11,250",Side,No
Downsview Park,1,Underground,2017,"2,520",Centre,Yes
Dufferin,2,Underground,1966,"28,620",Side,Yes
Dundas,1,Underground,1954,"73,560",Side,Yes
Dundas West,1,Underground,1966,"27,540",Side,Yes
Dupont,1,Underground,1978,"8,500",Side,No
Eglinton,1,Underground,1954,"68,520",Centre,Yes
Eglinton West,1,Underground/Surface,1978,"21,430",Side,Yes
Ellesmere,3,Surface,1985,"1,770",Side,No
Finch,1,Underground,1974,"99,350",Centre,Yes
Finch West,1,Underground,2017,"17,660",Centre,Yes
Glencairn,1,Surface,1978,"6,940",Centre,No
Greenwood,2,Underground,1966,"11,080",Side,No
High Park,2,Underground/Surface,1968,"12,080",Side,No
Highway 407,1,Underground,2017,"3,440",Centre,Yes
Islington,2,Underground,1968,"41,270",Centre,No
Jane,2,Underground,1968,"20,110",Side,Yes
Keele,2,Elevated,1966,"16,990",Side,No
Kennedy,2 & 3,Underground/Elevated,"1980, 1985","111,190","Centre, Side (quasi-SS)",Yes
King,1,Underground,1954,"64,730",Side,No
Kipling,2,Surface,1980,"49,340",Centre,Yes
Lansdowne,2,Underground,1966,"19,000",Side,No
Lawrence,1,Underground,1973,"22,340",Centre,No
Lawrence East,3,Surface,1985,"7,930",Side,No
Lawrence West,1,Surface,1978,"19,740",Centre,Yes
Leslie,4,Underground,2002,"5,990",Centre,Yes
Main Street,2,Underground,1968,"23,950",Side,Yes
McCowan,3,Elevated,1985,"3,860",Side,No
Midland,3,Elevated,1985,"2,440",Side,No
Museum,1,Underground,1963,"11,840",Centre,No
North York Centre,1,Underground,1987,"25,380",Side,Yes
Old Mill,2,Underground/Elevated,1968,"7,750",Side,No
Osgoode,1,Underground,1963,"23,670",Centre,Yes
Ossington,2,Underground,1966,"30,100",Side,Yes
Pape,2,Underground,1966,"27,080",Side,Yes
Pioneer Village,1,Underground,2017,"17,320",Centre,Yes
Queen,1,Underground,1954,"48,700",Side,Yes
Queen's Park,1,Underground,1963,"46,470",Centre,Yes
Rosedale,1,Surface,1954,"7,770",Side,No
Royal York,2,Underground,1968,"22,800",Side,Yes
Runnymede,2,Underground,1968,"20,110",Side,No
Scarborough Centre,3,Elevated,1985,"23,050",Side,Yes
Sheppard West,1,Underground,1996,"41,600",Centre,Yes
Sheppard–Yonge,1 & 4,Underground,"1974, 2002","125,470","Centre, Side",Yes
Sherbourne,2,Underground,1966,"31,030",Side,No
Spadina,1,Underground,"1978, 1966","44,560","Side, Side",Yes 
St. Andrew,1,Underground,1963,"57,480",Centre,Yes
St. Clair,1,Underground,1954,"36,620",Side,Yes
St. Clair West,1,Underground,1978,"27,980",Side,Yes
St. George,1 & 2,Underground,"1963, 1966","256,030","Centre, Centre",Yes
St. Patrick,1,Underground,1963,"34,060",Centre,Yes
Summerhill,1,Underground,1954,"5,710",Side,No
Union,1,Underground,1954,"143,640","Side, one-sided Centre",Yes
Vaughan Metro Centre,1,Underground,2017,"14,790",Centre,Yes
Victoria Park,2,Surface,1968,"30,780",Side,Yes
Warden,2,Surface,1968,"39,980",Centre,No
Wellesley,1,Underground,1954,"23,510",Side,No
Wilson,1,Surface,1978,"29,260",Centre,No
Woodbine,2,Underground,1966,"14,960",Side,Yes
York Mills,1,Underground,1973,"29,660",Centre,Yes
York University,1,Underground,2017,"34,130",Centre,Yes
Yorkdale,1,Surface,1978,"22,860",Centre,No
